name;description;price;category
Cheeseburger;"Juicy beef patty topped with melted cheese, lettuce, tomatoes, onions, and pickles. Served with fries.";10.99;"Burgers"
Margherita Pizza;"Classic Italian pizza topped with tomato sauce, mozzarella cheese, and fresh basil leaves.";12.99;"Pizza, Italian"
Chicken Alfredo;"Creamy Alfredo sauce tossed with grilled chicken breast and fettuccine pasta. Served with garlic bread.";14.99;"Pasta"
Caesar Salad;"Crisp romaine lettuce tossed with Caesar dressing, croutons, and parmesan cheese.";8.99;"Salads"
Fish and Chips;"Crispy battered fish fillets served with golden fries and tartar sauce.";11.99;"Seafood, Appetizers"
Spaghetti Bolognese;"Spaghetti pasta topped with savory beef Bolognese sauce and grated parmesan cheese.";13.99;"Pasta, Italian"
Mango Tango Smoothie;"Refreshing smoothie made with fresh mangoes, yogurt, and a hint of lime.";5.99;"Beverages, Smoothies"
Vegetarian Sushi Roll;"Delicious sushi roll filled with avocado, cucumber, carrot, and topped with sesame seeds.";9.99;"Sushi, Vegetarian"
New York Cheesecake;"Classic New York-style cheesecake topped with strawberry compote.";6.99;"Desserts"
Taco Salad;"Crispy tortilla shell filled with seasoned ground beef, lettuce, tomatoes, shredded cheese, and sour cream.";9.49;"Salads, Mexican"
BBQ Chicken Wings;"Crispy chicken wings tossed in tangy BBQ sauce. Served with ranch dressing.";8.99;"Appetizers"
Philly Cheesesteak;"Sliced steak grilled with onions and bell peppers, topped with melted cheese, served in a hoagie roll.";11.99;"Sandwiches"
Chicken Teriyaki;"Grilled chicken breast marinated in teriyaki sauce. Served with steamed rice and stir-fried vegetables.";12.49;"Entrees"
Chocolate Milkshake;"Creamy chocolate milkshake topped with whipped cream and chocolate syrup.";4.99;"Beverages, Milkshakes"
Caprese Salad;"Fresh mozzarella cheese, ripe tomatoes, and basil leaves drizzled with balsamic glaze.";7.99;"Salads, Italian"
Vegetable Stir-Fry;"Assorted vegetables stir-fried in a savory sauce. Served with choice of rice or noodles.";10.99;"Entrees, Vegetarian"
Garden Veggie Burger;"Grilled veggie patty topped with lettuce, tomato, onion, and avocado. Served with sweet potato fries.";9.99;"Burgers, Vegetarian"
Chocolate Lava Cake;"Decadent chocolate cake with a gooey molten center. Served with vanilla ice cream.";7.49;"Desserts"
Greek Gyro;"Grilled gyro meat (beef/lamb), lettuce, tomato, onion, and tzatziki sauce wrapped in warm pita bread.";10.99;"Sandwiches, Greek"
Veggie Pizza;"Delicious vegetarian pizza loaded with bell peppers, onions, mushrooms, olives, and tomatoes.";11.99;"Pizza, Vegetarian"
Crispy Calamari;"Lightly breaded and fried calamari served with marinara sauce for dipping.";10.49;"Appetizers, Seafood"
Chicken Caesar Wrap;"Grilled chicken breast, romaine lettuce, Parmesan cheese, and Caesar dressing wrapped in a flour tortilla.";9.99;"Sandwiches"
